ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD
blazegraph,3k,prop_number,blazegraph-3k-prop_number.prop_number,9,0,158.60,11.61
blazegraph,500,prop_number,blazegraph-500k-prop_number.prop_number,9,0,86.60,9.18
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,9,0,294.10,12.48
fuseki,10k,prop_number,fuseki-10k-prop_number.prop_number,1,0,123.20,14.20
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,1,0,27.90,3.53
fuseki,2k,prop_number,fuseki-2k-prop_number.prop_number,1,0,38.10,4.21
fuseki,30k,prop_number,fuseki-30k-prop_number.prop_number,1,0,324.60,38.05
fuseki,3k,prop_number,fuseki-3k-prop_number.prop_number,1,0,46.90,3.81
fuseki,500,prop_number,fuseki-500k-prop_number.prop_number,1,0,23.60,3.56
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,1,0,70.90,7.60
fuseki,10k,prop_number,fuseki-10k-prop_number.prop_number,2,0,120.80,6.45
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,2,0,30.00,2.41
fuseki,2k,prop_number,fuseki-2k-prop_number.prop_number,2,0,38.10,3.70
fuseki,30k,prop_number,fuseki-30k-prop_number.prop_number,2,0,318.90,12.01
fuseki,3k,prop_number,fuseki-3k-prop_number.prop_number,2,0,48.00,3.44
fuseki,500,prop_number,fuseki-500k-prop_number.prop_number,2,0,25.50,2.42
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,2,0,68.50,2.66
fuseki,10k,prop_number,fuseki-10k-prop_number.prop_number,3,0,167.00,5.27
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,3,0,32.70,2.87
fuseki,2k,prop_number,fuseki-2k-prop_number.prop_number,3,0,48.00,3.41
fuseki,30k,prop_number,fuseki-30k-prop_number.prop_number,3,0,504.10,9.18
fuseki,3k,prop_number,fuseki-3k-prop_number.prop_number,3,0,61.40,3.47
fuseki,500,prop_number,fuseki-500k-prop_number.prop_number,3,0,24.30,2.10
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,3,0,91.70,3.90
fuseki,10k,prop_number,fuseki-10k-prop_number.prop_number,4,0,151.10,4.28
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,4,0,29.60,1.20
fuseki,2k,prop_number,fuseki-2k-prop_number.prop_number,4,0,43.10,2.43
fuseki,30k,prop_number,fuseki-30k-prop_number.prop_number,4,0,435.00,16.67
fuseki,3k,prop_number,fuseki-3k-prop_number.prop_number,4,0,60.10,3.21
fuseki,500,prop_number,fuseki-500k-prop_number.prop_number,4,0,23.00,1.18
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,4,0,87.10,6.06
fuseki,10k,prop_number,fuseki-10k-prop_number.prop_number,5,0,19.10,2.21
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,5,0,19.80,1.66
fuseki,2k,prop_number,fuseki-2k-prop_number.prop_number,5,0,20.90,3.27
fuseki,30k,prop_number,fuseki-30k-prop_number.prop_number,5,0,18.40,1.28
fuseki,3k,prop_number,fuseki-3k-prop_number.prop_number,5,0,18.50,3.44
fuseki,500,prop_number,fuseki-500k-prop_number.prop_number,5,0,19.40,1.28
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,5,0,21.20,2.32
fuseki,10k,prop_number,fuseki-10k-prop_number.prop_number,6,0,19.50,5.52
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,6,0,20.30,2.37
fuseki,2k,prop_number,fuseki-2k-prop_number.prop_number,6,0,18.90,2.51
fuseki,30k,prop_number,fuseki-30k-prop_number.prop_number,6,0,19.40,1.91
fuseki,3k,prop_number,fuseki-3k-prop_number.prop_number,6,0,17.70,2.72
fuseki,500,prop_number,fuseki-500k-prop_number.prop_number,6,0,19.00,0.89
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,6,0,22.70,9.21
fuseki,10k,prop_number,fuseki-10k-prop_number.prop_number,7,0,18.90,2.62
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,7,0,18.60,1.36
fuseki,2k,prop_number,fuseki-2k-prop_number.prop_number,7,0,20.40,3.47
fuseki,30k,prop_number,fuseki-30k-prop_number.prop_number,7,0,18.30,1.42
fuseki,3k,prop_number,fuseki-3k-prop_number.prop_number,7,0,17.90,2.77
fuseki,500,prop_number,fuseki-500k-prop_number.prop_number,7,0,17.80,1.08
fuseki,5k,prop_number,fuseki-5k-prop_number.prop_number,7,0,19.70,4.45
fuseki,10k,prop_number,fuseki-10k-prop_number.prop_number,8,0,57.30,4.17
fuseki,1k,prop_number,fuseki-1k-prop_number.prop_number,8,0,37.80,8.27
fuseki,2k,prop_number,fuseki-2k-prop_number.prop_number,8,0,33.40,3.88
fuseki,30k,prop_number,fuseki-30k-prop_number.prop_number,8,0,141.40,11.96
fuseki,3k,prop_number,fuseki-3k-prop_number.prop_number,8,0,33.60,3.53
fuseki,500,prop_number,fuseki-500k-prop_number.prop_number,8,0,25.90,1.81
